,Label ID,Label,Notes
0,0,Positive ID,"One dead wasp seen in Blaine, and suspect flying nearby"
1,0,Positive ID,Hornet specimen sent to WSU
2,0,Positive ID,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae"
3,1,Negative ID,"I’m not sure what this is, but it was the biggest looking wasp/hornet I’ve ever seen, at least an inch long. Sorry for the poor quality picture, I went inside to get a glass to catch it and it flew away."
4,1,Negative ID,"slow moving, i have this in the freezer still i think. I saw 3 of them 98588"
5,1,Negative ID,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.
6,1,Negative ID,"Probably not an Asain Hornet but still a pretty mean looking one that I can't I.D. Second sighting that day, both found while cutting down dead Hemlock trees."
7,1,Negative ID,"Was on the garden hose. It stung (maybe just a bite but there was only one puncture hole) the palm of my hand. Approximately 1.5 inches in length, dark dark brown with thin yellow markings."
8,1,Negative ID,"Not sure if this is the target pest, but I figured we would send the picture in for examination. The head came off when we removed the pest from the cowling on an engine."
9,1,Negative ID,not sure if this is one. but in case it is. Saw it at Bayview farm and garden nursery on Whidbey Island
10,1,Negative ID,We live on the coast and are familiar with the bees and wasps in our area. We are outside most of the day until night. We kept remarking about a strange huge bee buzzing around that was orange and we’ve never seen before. I have no picture but will try
11,1,Negative ID,"I live in Newcastle, WA and found a dead one on my front porch. I will leave it there if you want to confirm"
12,1,Negative ID,"Saw this big bee on my back deck, tried to look it up but I couldn't find a match.  Very large and in my entire life I have not seen one like this in Washington state. Thank you."
13,1,Negative ID,"was in my house in Spokane, WA"
14,1,Negative ID,"We weren’t sure what these were, but they are huge and we had never seen anything like them. We saw them in Crescent Bar by the swimming pools."
15,1,Negative ID,"Hello! This 'wasp' type insect bit my husband and I last Sept.  I grew up in the PNW, am a longtime gardener and have never seen anything like this.  I don't know if this is the hornet that you are referring to but it looks very familiar.  It was huge an"
16,1,Negative ID,"This is the cicada killer, either Sphecius grandis or Sphecius convallis."
17,1,Negative ID,I saw this trying to start a nest on the eve of my garage door. I hit it 3 times with a broom until it finally left. I have not seen it since then. It was 1 1/2 to 2 inches in length.
18,1,Negative ID,"I killed this in my back yard a couple years ago. Didn’t think anything of it until I just read your article. Not sure if it’s a Asian giant hornet, but figure I would share."
19,1,Negative ID,It was the only one located and was put into a pickle jar - the hand holding the jar is an adult females hand
20,1,Negative ID,i read the article on them about a week ago and noticed these abnormally big looking bees outside my window and made me curious because they were messing around with the small looking hives i have seen before that are usually around houses. i did not not
21,1,Negative ID,Was dead on the ground..looked like it had Larvae.  Large park across the street
22,1,Negative ID,"My initial thought was, ""this looks like a huge bumblebee. It was sluggish, appx. 1.25"" long, and I moved it from patio to lawn.  I don't believe it's the Asian hornet, but would like to know if you can identify it. Is it dangerous?"
23,1,Negative ID,"Over an inch long. I have single-paned windows and I only noticed my window thumping because I thought it was wind. It was this bug flying into the window repeatedly. I thought the time of day was strange, along with it’s size. It was not not skinny."
